央视,#genre#
CHC高清电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
欧洲华文1,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
欧洲华文2,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华文6,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
东方影视,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5000000010000032212&livemode=1&stbId=10&channel-id=bestzb
都市剧场,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5000000002000004412&livemode=1&stbId=10&channel-id=bestzb
动漫秀场,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5000000002000023636&livemode=1&stbId=10&channel-id=bestzb
第一财经,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5000000010000027146&livemode=1&stbId=10&channel-id=bestzb
上视ICS,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5000000010000030951&livemode=1&stbId=10&channel-id=bestzb
冬奥纪实,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000001910&livemode=1&stbId=2&channel-id=ystenlive
五星体育,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5000000010000017540&livemode=1&stbId=10&channel-id=bestzb
欢笑剧场,http://111.20.105.60:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
快乐垂钓,http://111.20.105.60:6060/yinhe/2/ch00000090990000002264/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
茶频道,http://111.20.105.60:6060/yinhe/2/ch00000090990000002305/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
乐游,http://111.20.105.60:6060/yinhe/2/ch00000090990000002157/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
游戏风云,http://111.20.105.60:6060/yinhe/2/ch00000090990000002295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
